Department,Title,Unique_Code,GR_Date,Website_Size,PDF_URL,Pages,Downloaded_Size(Bytes),Local_File,Download_Status,Downloaded_On
"Electronics, Information Technology and Artificial Intelligence Department",Regarding the publication of the temporary seniority list of Assistant (Technical) Group-B (Non-Gazetted) employees of the Directorate of Information Technology from 01.01.2004 to 01.01.2021.,202107201251572411,20-07-2021,2091,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202107201251572411.pdf,10,2140992,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202107201251572411.pdf",Downloaded,2026-07-27 22:12:50
"Electronics, Information Technology and Artificial Intelligence Department","As per the Rights of Persons with Disabilities Act, 2016, to ensure posts in the Government Services for persons with Disabilities for posts in the Rajiv Gandhi Science and Technology Commission, Group A to Group D.",202107191443218111,19-07-2021,133,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202107191443218111.pdf,2,135796,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202107191443218111.pdf",Downloaded,2026-07-27 22:12:51
"Electronics, Information Technology and Artificial Intelligence Department","Regarding the exclusion of the post of Group-C category Driver from the office of the Directorate of Information Technology as per the Rights of Persons with Disabilities Act, 2016.",202107061242530711,06-07-2021,1780,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202107061242530711.pdf,2,1822377,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202107061242530711.pdf",Downloaded,2026-07-27 22:12:54
"Electronics, Information Technology and Artificial Intelligence Department",To set up a District Level Telecom Committee.,202106071853165711,07-06-2021,1954,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202106071853165711.pdf,2,2000945,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202106071853165711.pdf",Downloaded,2026-07-27 22:12:55
"Electronics, Information Technology and Artificial Intelligence Department",Strengthening ecosystem for mandatory Bio-matric Update.,202106011701485311,01-06-2021,879,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202106011701485311.pdf,2,899905,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202106011701485311.pdf",Downloaded,2026-07-27 22:12:56
"Electronics, Information Technology and Artificial Intelligence Department",Reorganization of Dicrect Benefit Transfer Action Committee at State Level for Direct Benefits of Government Schemes,202105141255466911,14-05-2021,140,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202105141255466911.pdf,3,143390,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202105141255466911.pdf",Downloaded,2026-07-27 22:12:57
"Electronics, Information Technology and Artificial Intelligence Department",Implementation of E-Tenders,202105111646307611,11-05-2021,137,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202105111646307611.pdf,2,140268,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202105111646307611.pdf",Downloaded,2026-07-27 22:12:58
"Electronics, Information Technology and Artificial Intelligence Department",Cloud Computing policy Empanelment of Cloud Service Providers and Guidelines for Government Organizations.,202104231756150811,23-04-2021,139,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202104231756150811.pdf,2,142633,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202104231756150811.pdf",Downloaded,2026-07-27 22:12:58
"Electronics, Information Technology and Artificial Intelligence Department","Regarding ensuring posts for person with disabilities as per the Rights of persons with disabilities Act, 2016 in the Group A to Group B category in Rajiv Gandhi Science and Technology Commission, Mumbai.",202104061557307811,06-04-2021,153,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202104061557307811.pdf,4,156806,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202104061557307811.pdf",Downloaded,2026-07-27 22:12:59
"Electronics, Information Technology and Artificial Intelligence Department",Regarding Empanelment of Consultants for IT Projects in Government of Maharashtra.,202103191753279311,19-03-2021,2572,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202103191753279311.pdf,3,2633509,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202103191753279311.pdf",Downloaded,2026-07-27 22:13:03
"Electronics, Information Technology and Artificial Intelligence Department",Appointment of OMR vender Empanelment for recruitment of Class -B (Ungazetted) and Class-C Post (Addendum).,202103041719472911,04-03-2021,149,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202103041719472911.pdf,3,152494,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202103041719472911.pdf",Downloaded,2026-07-27 22:13:04
"Electronics, Information Technology and Artificial Intelligence Department",Rajiv Gandhi Science and Technology Commission budget for the year 2020-21 disbursement of fund through provision.,202102221522320611,22-02-2021,138,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202102221522320611.pdf,2,141659,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202102221522320611.pdf",Downloaded,2026-07-27 22:13:05
"Electronics, Information Technology and Artificial Intelligence Department","Regarding ensuring posts for persons with disabilities in Group A to Group-D posts in the Directorate of Information Technology, Mantralaya, Mumbai as per the Rights of Persons with Disabilities Act, 2016.",202102181520475911,18-02-2021,2420,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202102181520475911.pdf,6,2477878,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202102181520475911.pdf",Downloaded,2026-07-27 22:13:06
"Electronics, Information Technology and Artificial Intelligence Department","Regarding mentioning of Government Resolutions and Circulars about prescribed computer knowledge eligibility in recruitment advertisement of Group A, B and C of state Government services.",202102051649105211,05-02-2021,138,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202102051649105211.pdf,3,141724,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202102051649105211.pdf",Downloaded,2026-07-27 22:13:06
"Electronics, Information Technology and Artificial Intelligence Department",Appointment of OMR Vender Empanelment for Recruitment of Class B (Ungazetted) and Class C Post.,202101211644450911,21-01-2021,150,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202101211644450911.pdf,3,153617,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202101211644450911.pdf",Downloaded,2026-07-27 22:13:07
"Electronics, Information Technology and Artificial Intelligence Department",Stay order for GR issued on 26 November 2020 about the decision regarding final date for submission of compulsory computer qualification certificate and recovery of excess payment.,202011271209526511,27-11-2020,1979,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202011271209526511.pdf,2,2026407,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202011271209526511.pdf",Downloaded,2026-07-27 22:13:08
"Electronics, Information Technology and Artificial Intelligence Department",Decision regarding final date for submission of compulsory computer qualification certificate and recovery of excess payment.,202011261535430611,26-11-2020,1984,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202011261535430611.pdf,3,2031932,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202011261535430611.pdf",Downloaded,2026-07-27 22:13:10
"Electronics, Information Technology and Artificial Intelligence Department",Rajiv Gandhi Science and Technology Commission budget for the year 2020-21 disbursement of fund through provision.,202011251138477511,24-11-2020,2005,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202011251138477511.pdf,2,2052682,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202011251138477511.pdf",Downloaded,2026-07-27 22:13:12
"Electronics, Information Technology and Artificial Intelligence Department",Rajiv Gandhi Science and Technology Commission for Salaries and Allowances of Officers/ Employees budget for the year 2020-21 disbursement of funds through provision.,202011251333285611,24-11-2020,1982,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202011251333285611.pdf,2,2029419,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202011251333285611.pdf",Downloaded,2026-07-27 22:13:13
"Electronics, Information Technology and Artificial Intelligence Department",SOP for use of mahaeoffice portal for of official work.,202011091654026811,09-11-2020,2964,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202011091654026811.pdf,19,3034735,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202011091654026811.pdf",Downloaded,2026-07-27 22:13:15
"Electronics, Information Technology and Artificial Intelligence Department",Use of mahaeoffice portal for of official work.,202010191540488111,19-10-2020,2328,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202010191540488111.pdf,3,2383916,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202010191540488111.pdf",Downloaded,2026-07-27 22:13:16
"Electronics, Information Technology and Artificial Intelligence Department",State Broadband Mission Committee-regarding,202007301546438111,30-07-2020,3277,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202007301546438111.pdf,2,3355792,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202007301546438111.pdf",Downloaded,2026-07-27 22:13:18
"Electronics, Information Technology and Artificial Intelligence Department",Renewal rate of Technical Manpower of Maha IT for year dated 01/04/2020 to 31/03/2021.,202004221243514111,22-04-2020,3331,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202004221243514111.pdf,6,3410606,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202004221243514111.pdf",Downloaded,2026-07-27 22:13:20
"Electronics, Information Technology and Artificial Intelligence Department","Regarding use of Artificial Intelligence Marathi Language Technology, Natural Language Processing (NLP) Natural Language Understanding (NLU) in Government work.",202003031509142811,03-03-2020,3224,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202003031509142811.pdf,2,3300908,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202003031509142811.pdf",Downloaded,2026-07-27 22:13:22
"Electronics, Information Technology and Artificial Intelligence Department",Rajiv Gandhi Science and Technology Commission release of grant from the budget estimate for the year 2019-20.,202003031646078011,03-03-2020,3307,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202003031646078011.pdf,2,3386106,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202003031646078011.pdf",Downloaded,2026-07-27 22:13:26
"Electronics, Information Technology and Artificial Intelligence Department","Administrative approval for the Implementation of Hon. Chief Minister Helpline, in the State of Maharashtra.",202002261550215011,26-02-2020,3430,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202002261550215011.pdf,2,3512070,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202002261550215011.pdf",Downloaded,2026-07-27 22:13:28
"Electronics, Information Technology and Artificial Intelligence Department",About updated process of Exams Conduction under Maha-Pariksha.,202002241155355511,24-02-2020,3158,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202002241155355511.pdf,2,3233531,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202002241155355511.pdf",Downloaded,2026-07-27 22:13:29
"Electronics, Information Technology and Artificial Intelligence Department",About updated process of Exams Conduction under Maha-Pariksha.,202002201713214911,20-02-2020,3146,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202002201713214911.pdf,3,3221381,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202002201713214911.pdf",Downloaded,2026-07-27 22:13:31
